strategy,split,bars,net_bps_per_bar,gross_bps_per_bar,cost_bps_per_bar,sharpe_net,sharpe_gross,ann_return_pct,max_dd_pct,turnover_per_bar,breakeven_cost_bps,p_value,family,fee_model,hold,lookback,top_n,channel
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",full,5399,-5.955050786643228,1.2160457127085056,7.171096499351733,-2.491987901653323,0.5096952731253241,-130.4156122274867,-328.12527513391007,0.7686979070198187,1.5819552799655971,1.0,H3 短期リバーサル(横断),taker,2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",train,3240,-3.116964902741823,0.7621168873816337,3.8790817901234567,-1.374001869774527,0.33594754113222336,-68.26153137004593,-168.37315136860346,0.7189506172839508,1.060040660735165,0.93025,H3 短期リバーサル(横断),half-maker,2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",test,2111,-3.379446317383517,1.2148810156340109,4.594327333017527,-1.3201416260116563,0.47499065240661226,-74.00987435069902,-92.35531508938297,0.8432970156324018,1.4406324143373763,0.91375,H3 短期リバーサル(横断),half-maker,2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",full,5399,-2.946025967232224,1.2160457127085056,4.16207167994073,-1.2344409319538758,0.5096952731253241,-64.51796868238571,-178.78567446850235,0.7686979070198187,1.5819552799655971,0.97375,H3 短期リバーサル(横断),half-maker,2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",train,3240,-0.3163090385442916,0.7621168873816337,1.0784259259259255,-0.13946059746387485,0.33594754113222336,-6.927167944119986,-101.33798794494413,0.7189506172839508,1.060040660735165,0.5615,H3 短期リバーサル(横断),maker-only(理論上限),2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",test,2111,-0.05006450781459151,1.2148810156340109,1.2649455234486022,-0.01957282079328656,0.47499065240661226,-1.0964127211395542,-55.52400783977247,0.8432970156324018,1.4406324143373763,0.49075,H3 短期リバーサル(横断),maker-only(理論上限),2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",full,5399,0.06299885217877817,1.2160457127085056,1.1530468605297275,0.026408517573169473,0.5096952731253241,1.3796748627152418,-101.33798794494413,0.7686979070198187,1.5819552799655971,0.485,H3 短期リバーサル(横断),maker-only(理論上限),2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",train,3240,-2.5390165841542873,1.9301192183148483,4.469135802469136,-1.1809698239197046,0.8982401517797286,-55.60446319297889,-121.75363510194299,0.4779629629629629,4.038219209182558,0.908,H3 短期リバーサル(横断),taker,3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",test,2111,-4.56296228663067,0.7916090065952897,5.35457129322596,-1.8328739583931293,0.3183436600819723,-99.92887407721166,-99.97898416977036,0.5635243960208433,1.4047466483882451,0.97025,H3 短期リバーサル(横断),taker,3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",full,5399,-3.0248388380022733,1.7931367130256952,4.817975551027968,-1.3224592309978935,0.7845492123556791,-66.24397055224979,-179.15744561715908,0.5122059640674198,3.500811858546948,0.97825,H3 短期リバーサル(横断),taker,3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",train,3240,-0.6629209051419421,1.9301192183148483,2.5930401234567904,-0.30860761010276744,0.8982401517797286,-14.517967822608533,-75.91888510194306,0.4779629629629629,4.038219209182558,0.62275,H3 短期リバーサル(横断),half-maker,3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",test,2111,-2.308319937033322,0.7916090065952897,3.099928943628612,-0.9281741152824422,0.3183436600819723,-50.55220662102975,-57.158881569529754,0.5635243960208433,1.4047466483882451,0.8315,H3 短期リバーサル(横断),half-maker,3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",full,5399,-1.0000055355388537,1.7931367130256952,2.7931422485645494,-0.43760125006882394,0.7845492123556791,-21.900121228300897,-75.91888510194306,0.5122059640674198,3.500811858546948,0.746,H3 短期リバーサル(横断),half-maker,3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",train,3240,1.213174773870404,1.9301192183148483,0.7169444444444443,0.564733112207594,0.8982401517797286,26.56852754776185,-50.65414384225269,0.4779629629629629,4.038219209182558,0.229,H3 短期リバーサル(横断),maker-only(理論上限),3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",test,2111,-0.05367758743597429,0.7916090065952897,0.8452865940312647,-0.021589145418649695,0.3183436600819723,-1.1755391648478368,-47.022808560142636,0.5635243960208433,1.4047466483882451,0.51975,H3 短期リバーサル(横断),maker-only(理論上限),3,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=3",full,5399,1.0248277669245658,1.7931367130256952,0.7683089461011298,0.4484891659311098,0.7845492123556791,22.44372809564799,-50.65414384225269,0.5122059640674198,3.500811858546948,0.2445,H3 短期リバーサル(横断),maker-only(理論上限),3,1.0,5.0,
